title,link,description,bloggername,bloggerlink,postdate,si,성별,,연령대,,,,,테마,,,,
,,,,,,,여,남,영유아,청소년,청년층(2030),중장년층(405060),노년층(70대 이상),가족,친구,연인,나 홀로,애견동반
"전라도 담양, 광주, <b>나주 여행</b>",https://blog.naver.com/kwg803?Redirect=Log&logNo=221269927921,"홀로 <b>여행</b>은 참으로 오랜만이었다. 1박 2일의 시간을 어디서 어떻게 보낼 것인가를 고민하다 한국<b>관광</b>공사에서 추천한 전라도의 담양, 광주, <b>나주</b>의 명소를 소개한 코스가 마음에 들어 선택하였다. 사는 곳에서... ",隨緣樂命,https://blog.naver.com/kwg803,20180507,나주,T,T,F,F,T,F,F,F,F,T,F,F
<b>나주</b> 금성관/ 읍성 /향교 (2020.5.1),https://blog.naver.com/kgl0707?Redirect=Log&logNo=221958281532,"<b>나주</b>목 관찰사가 업무를 보던 곳이고, 중앙사신이 오면 묵던 곳. <b>나주</b>와 주변 2박3일 <b>여행</b> 마지막날이다.... 곡창지대 <b>전남 나주</b>라 영산포를 통해 곡물을 착취한 건 아닐까? 군산처럼... 지금은 지역 문화공간으로... ",산들바람 나들이,https://blog.naver.com/kgl0707,20200512,나주,T,T,F,F,T,T,F,T,F,F,F,F
<b>나주여행</b>/옛 <b>나주</b> 관아 금성관/예가체프카페,https://blog.naver.com/lifebook57?Redirect=Log&logNo=221465295865,"오늘은 설연휴 <b>나주여행</b>길에 둘러본 <b>나주</b><b>관광</b>지에 있는 문화재~ 옛 <b>나주</b>목 관아 금성관을... ●<b>나주</b> 금성관은 <b>전남</b>지방에 많지 않은 객사 중 하나로서 그 규모가 웅장하고, <b>나주</b>인의 정의로운 기상을 대표할... ",애니의 사랑이 담긴 방,https://blog.naver.com/lifebook57,20190214,나주,T,T,F,F,T,F,F,F,F,T,F,F
[<b>전남</b><b>여행</b>/<b>나주</b>] @(구)<b>나주</b>역(羅州驛) @광주학생항일운동의... ,https://blog.naver.com/webper21?Redirect=Log&logNo=40200344758,광주학생항일운동의 진원지이며 전라도를 대표했던 역사(驛舍)중 한 곳 <b>전남</b><b>여행</b> / <b>나주여행</b>... kr/gkqj ▶ 주소_ 전라남도 <b>나주</b>시 삼영동 162 ▶ <b>나주</b>시 문화<b>관광</b>_ 061-339-8592 ▶ 찾아가는 길... ,CHEOLstyle 寫眞旅行ing~,https://blog.naver.com/webper21,20131107,나주,F,T,F,F,F,T,F,F,F,F,T,F
[<b>전남</b>/<b>나주</b>] 산림자원연구소,https://blog.naver.com/mnonz?Redirect=Log&logNo=221543291129,"( 출처: <b>나주</b> 산림자원연구소 홈페이지 ) 입장료, 주차비가 모두 무료인 아주 훌륭한 장소. 그러나 원래는 <b>관광</b> 목적이 아닌 연구와 쉼이 주 목적인 장소인 데다가, 최근 이곳이 SNS 핫플레이스로 떠오르면서... ",기억하기 위해 기록하는 순간,https://blog.naver.com/mnonz,20190521,나주,F,T,F,F,T,T,F,T,F,F,F,F
♧ <b>나주여행</b> ♧ - 영산포 원정통 일대 및 장군의아들 촬영지와... ,https://blog.naver.com/pcki2000?Redirect=Log&logNo=220052125536,우연히 <b>전남</b>대학교 문화전문대학원 생태<b>관광</b>연구센터 카페 (http://cafe.naver.com/ecotourlab)를 통해 궁금증을 해소하게 되었다. 이곳이 1970년대 <b>나주</b>군농업협동조합 건물이라고 한다. 거의 폐가이다 시피 했다.... ,넓은돌의 감성노트,https://blog.naver.com/pcki2000,20140706,나주,T,T,F,F,T,F,F,T,F,F,F,F
[<b>전남</b><b>여행</b>] <b>나주</b>목사내아@금학헌@조선시대 <b>나주</b>목에 파견된... ,https://blog.naver.com/webper21?Redirect=Log&logNo=40195334744,조선시대 <b>나주</b>목에 파견된 지방관리인 목사의 살림집 <b>전남</b><b>여행</b> / <b>나주여행</b> / <b>나주</b>답사 / <b>나주</b>목... 아무튼 가족과 친구 혹은 사랑하는 이들과 함께 하룻밤을 보내면서 주변의 <b>관광</b>과 먹거리도 함께 즐겨보는... ,CHEOLstyle 寫眞旅行ing~,https://blog.naver.com/webper21,20130824,나주,F,T,F,F,F,T,F,F,F,F,T,F
"[<b>전남</b><b>여행</b>/담양/<b>나주</b>] @ 담양읍 석당간, <b>나주</b> 동점문 밖 석당간... ",https://blog.naver.com/webper21?Redirect=Log&logNo=40206308946,"현존 온전하게 잘 남아있는 전국에 몇 안되는 마을밖 당간 <b>전남</b><b>여행</b> / <b>나주여행</b> / 담양<b>여행</b> / 당간... do/FwZANVIh ▶ 주소_ 전라남도 담양군 담양읍 객사리 44-1 ▶ 담양군 문화<b>관광</b>과_ 061-380-3114, 061-380-3155~7... ",CHEOLstyle 寫眞旅行ing~,https://blog.naver.com/webper21,20140211,나주,F,T,F,F,F,T,F,F,F,F,T,F
<b>나주</b> <b>관광</b> 영상테마파크 주몽... 남도<b>여행</b>을 준비하시는 분 꼭... ,https://blog.naver.com/lakeparkinnocity?Redirect=Log&logNo=221609862787,#<b>나주여행</b> <b>나주</b> <b>관광</b>지 영상테마파크 해자성문 <b>나주</b> 영상테마파크에 대한 포스팅은 지난겨울에... #김복동 #주전장 광주 독립영화관 주전장 김복동 광주<b>전남</b>에서 주전장을 볼 수 있는 광주 아시아 문화전당 바로... ,나주혁신도시 부동산정보 Innocity HUB,https://blog.naver.com/lakeparkinnocity,20190808,나주,T,T,F,F,T,F,F,F,T,F,F,F
"<b>전남</b> <b>여행</b>지 정보! <b>전남</b>에서... 추천, <b>전남</b> <b>관광</b>명소... ",https://blog.naver.com/songpyeonduk?Redirect=Log&logNo=110123947818,"<b>전남</b> <b>여행</b>지 정보! <b>전남</b>에서 가볼만한곳 추천, <b>전남</b> <b>관광</b>명소, 메타세쿼이아 가로수길, 영산강... 촬영지인 <b>나주</b> 영상테마파크도 경유해 다양한 즐길 거리를 제공합니다. 또다른 명소는 담양 메타세쿼이아... ",쳔년마을송편 하우스♥,https://blog.naver.com/songpyeonduk,20111114,나주,T,T,F,T,F,T,F,T,F,F,F,F
